text,label
"Win money now!!! Click here",1
"Urgent! Your account is compromised",1
"Verify your bank details immediately",1
"You have won a lottery prize",1
"Click this link to claim reward",1
"Update your password now",1
"Suspicious login detected",1
"Free gift card waiting for you",1
"Congratulations you are selected",1
"Act now to secure your account",1
"Meeting at 10 AM tomorrow",0
"Project deadline extended",0
"Lunch at 1 PM?",0
"Please review the document",0
"Call me when you are free",0
"Team meeting scheduled",0
"Happy birthday!",0
"Let's catch up soon",0
"Invoice attached for your reference",0
"Reminder: submit your report",0
"Limited offer click now",1
"Your PayPal account needs verification",1
"Reset your password using this link",1
"You won a free vacation",1
"Claim your bonus now",1
"Security alert! login attempt",1
"Bank notice update details",1
"Click to avoid account suspension",1
"Exclusive deal just for you",1
"Immediate action required",1
"See you at the meeting",0
"Thanks for your help",0
"Can we reschedule?",0
"Please find attached file",0
"Let's meet tomorrow",0
"Dinner tonight?",0
"Project discussion notes",0
"Office will be closed tomorrow",0
"Weekly report update",0
"Budget meeting details",0
"Verify your identity now",1
"Your account will be blocked",1
"Click here for refund",1
"Confirm your email address",1
"Update billing information",1
"Unauthorized login detected",1
"Act fast limited time offer",1
"Reset credentials now",1
"Prize claim expires today",1
"Secure your account now",1
"Good morning team",0
"Please send the files",0
"Looking forward to meeting",0
"Attached is the report",0
"Let me know your thoughts",0
"Can you review this?",0
"Thanks for the update",0
"Schedule for next week",0
"Meeting agenda attached",0
"Final report submission",0
"Claim your free reward",1
"Win big prizes today",1
"Click here immediately",1
"Verify your account info",1
"Suspicious activity detected",1
"Urgent response needed",1
"Limited time bonus",1
"Update security settings",1
"Confirm login attempt",1
"Free subscription offer",1
"Daily standup meeting",0
"Please check email",0
"Client feedback received",0
"Work from home update",0
"Schedule confirmation",0
"Follow up on project",0
"Send me the details",0
"Quick question about task",0
"Team lunch tomorrow",0
"Reminder for meeting",0
"Claim your reward now",1
"Account suspended verify now",1
"Urgent bank alert",1
"Click to unlock account",1
"Security verification required",1
"Win cash instantly",1
"Limited deal act fast",1
"Free access click now",1
"Confirm payment details",1
"Update account immediately",1